source,crop,area,yield_t_per_acre,cost_tk_per_acre,crop_value_tk_per_acre,byproduct_value_tk_per_acre,net_return_tk_per_acre,page
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Hybrid Amon,Dhaka Division,2.27,33797.0,50388.0,8392.0,24983.0,554
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Hybrid Amon,Khulna Division,2.29,40335.0,50424.0,9953.0,20042.0,554
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Hybrid Amon,Mymensingh Division,2.21,39303.0,53074.0,9493.0,23264.0,554
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Hybrid Amon,Rajshahi Division,2.24,38691.0,56034.0,9439.0,26782.0,554
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Hybrid Amon,Rangpur Division,2.04,40428.0,51031.0,7477.0,18080.0,554
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Hybrid Amon,Sylhet Division,2.1,42457.0,47725.0,9116.0,14384.0,554
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Boro,Bangladesh,1.14,22028.0,27110.0,6189.0,11271.0,555
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Boro,Barishal Division,1.18,22729.0,28027.0,6023.0,11321.0,555
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Boro,Chattogram Division,0.98,20223.0,23025.0,7235.0,10037.0,555
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Boro,Dhaka Division,1.08,21362.0,25359.0,6753.0,10750.0,555
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Boro,Khulna Division,1.19,20018.0,27611.0,6400.0,13993.0,555
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Boro,Mymensingh Division,1.26,21627.0,30914.0,6408.0,15695.0,555
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Boro,Rajshahi Division,1.24,23762.0,30445.0,6263.0,12946.0,555
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Boro,Rangpur Division,1.06,22481.0,25408.0,6372.0,9299.0,555
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Boro,Sylhet Division,1.14,22451.0,27306.0,3782.0,8637.0,555
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,HYV Boro,Bangladesh,2.42,38859.0,57941.0,6957.0,26039.0,555
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,HYV Boro,Barishal Division,2.35,38791.0,56492.0,6434.0,24135.0,555
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,HYV Boro,Chattogram Division,2.47,46769.0,57897.0,9097.0,20225.0,555
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,HYV Boro,Dhaka Division,2.56,33270.0,60116.0,6786.0,33632.0,555
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,HYV Boro,Khulna Division,1.7,29498.0,37482.0,8876.0,16860.0,555
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,HYV Boro,Mymensingh Division,2.32,37109.0,56248.0,6178.0,25317.0,555
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,HYV Boro,Rajshahi Division,1.69,33604.0,42223.0,8021.0,16640.0,555
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,HYV Boro,Rangpur Division,2.39,37824.0,58036.0,7337.0,27549.0,555
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,HYV Boro,Sylhet Division,1.68,24054.0,41896.0,5908.0,23750.0,555
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Hybrid Boro,Bangladesh,2.94,40545.0,70682.0,7923.0,38060.0,555
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Hybrid Boro,Barishal Division,2.8,37733.0,65723.0,6337.0,34327.0,555
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Hybrid Boro,Chattogram Division,3.05,47134.0,72291.0,10201.0,35358.0,555
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Hybrid Boro,Dhaka Division,3.04,36530.0,71509.0,6943.0,41922.0,555
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Hybrid Boro,Khulna Division,3.14,39167.0,73867.0,7200.0,41900.0,555
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Hybrid Boro,Mymensingh Division,2.79,42144.0,67327.0,8210.0,33393.0,555
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Hybrid Boro,Rajshahi Division,2.95,38570.0,73070.0,5339.0,39839.0,555
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Hybrid Boro,Rangpur Division,2.95,38570.0,73070.0,5339.0,39839.0,555
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Hybrid Boro,Sylhet Division,2.63,35662.0,65470.0,6539.0,36347.0,555
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Wheat,Bangladesh,1.26,21582.0,29559.0,2949.0,10926.0,556
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Wheat,Barishal Division,1.03,22293.0,24854.0,1956.0,4517.0,556
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Wheat,Chattogram Division,0.99,21599.0,23712.0,2947.0,5060.0,556
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Wheat,Dhaka Division,1.19,19211.0,29119.0,3903.0,13811.0,556
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Wheat,Khulna Division,1.39,20310.0,33388.0,3134.0,16212.0,556
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Wheat,Mymensingh Division,1.09,17778.0,26223.0,2152.0,10597.0,556
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Wheat,Rajshahi Division,1.23,24510.0,29583.0,2470.0,7543.0,556
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Wheat,Rangpur Division,1.32,20161.0,29310.0,2986.0,12135.0,556
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Wheat,Sylhet Division,0.95,20656.0,23468.0,2954.0,5766.0,556
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Maize,Bangladesh,3.19,33131.0,63597.0,1926.0,32392.0,556
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Maize,Barishal Division,1.72,32728.0,35666.0,1263.0,4201.0,556
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Maize,Chattogram Division,2.43,42963.0,48612.0,2925.0,8574.0,556
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Maize,Dhaka Division,2.79,28768.0,56665.0,1780.0,29677.0,556
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Maize,Khulna Division,3.49,41904.0,69734.0,1676.0,29506.0,556
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Maize,Mymensingh Division,3.23,26274.0,64961.0,1904.0,40591.0,556
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Maize,Rajshahi Division,2.93,40224.0,58626.0,2005.0,20407.0,556
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Maize,Rangpur Division,3.29,29029.0,65114.0,1944.0,38029.0,556
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Maize,Sylhet Division,2.13,27414.0,43228.0,2064.0,17878.0,556
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Potato,Bangladesh,7.55,63751.0,133554.0,1842.0,71645.0,556
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Potato,Barishal Division,6.05,69056.0,108479.0,1202.0,40625.0,556
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Potato,Chattogram Division,6.22,70317.0,111928.0,3064.0,44675.0,556
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Potato,Dhaka Division,9.68,70541.0,174323.0,1665.0,105447.0,556
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Potato,Khulna Division,7.72,54962.0,139300.0,1610.0,85948.0,556
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Potato,Mymensingh Division,6.69,65846.0,117783.0,1460.0,53397.0,556
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Potato,Rajshahi Division,7.08,64645.0,123626.0,1906.0,60887.0,556
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Potato,Rangpur Division,7.79,60599.0,138214.0,1759.0,79374.0,556
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Potato,Sylhet Division,4.69,55521.0,79676.0,1375.0,25530.0,556
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Onion,Bangladesh,3.93,60713.0,145698.0,2329.0,87314.0,557
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Onion,Barishal Division,1.62,52598.0,56130.0,3038.0,6570.0,557
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Onion,Chattogram Division,2.14,62573.0,85784.0,2208.0,25419.0,557
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Onion,Dhaka Division,3.67,60060.0,147579.0,2260.0,89779.0,557
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Onion,Khulna Division,5.29,61096.0,205101.0,2635.0,146640.0,557
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Onion,Mymensingh Division,2.76,64269.0,95023.0,1756.0,32510.0,557
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Onion,Rajshahi Division,4.02,61117.0,137322.0,2288.0,78493.0,557
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Onion,Rangpur Division,3.07,59689.0,99023.0,2715.0,42049.0,557
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Onion,Sylhet Division,2.35,50430.0,82183.0,2351.0,34104.0,557
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Jute,Bangladesh,0.94,25439.0,44594.0,9021.0,28176.0,557
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Jute,Barishal Division,0.58,18605.0,25767.0,8547.0,15709.0,557
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Jute,Chattogram Division,0.76,32780.0,37790.0,8846.0,13856.0,557
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Jute,Dhaka Division,0.95,23557.0,47036.0,9125.0,32604.0,557
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Jute,Khulna Division,0.99,24280.0,46682.0,8580.0,30982.0,557
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Jute,Mymensingh Division,0.9,27813.0,40958.0,9127.0,22272.0,557
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Jute,Rajshahi Division,0.9,27882.0,41179.0,9927.0,23224.0,557
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Jute,Rangpur Division,0.92,29135.0,42797.0,8650.0,22312.0,557
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Jute,Sylhet Division,0.58,23176.0,26732.0,8919.0,12475.0,557
