source,station,year,rain_mm
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Cumilla,2023,2113.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Cumilla,2024,2380.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chandpur,2016,2350.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chandpur,2017,3006.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chandpur,2018,1973.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chandpur,2019,1732.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chandpur,2020,2169.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chandpur,2021,1954.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chandpur,2022,1663.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chandpur,2023,2126.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chandpur,2024,2680.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Maijdeecourt,2016,2838.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Maijdeecourt,2017,3902.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Maijdeecourt,2018,2388.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Maijdeecourt,2019,2874.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Maijdeecourt,2020,3098.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Maijdeecourt,2021,2340.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Maijdeecourt,2022,1903.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Maijdeecourt,2023,2227.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Maijdeecourt,2024,3827.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Feni,2016,3091.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Feni,2017,4476.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Feni,2018,2662.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Feni,2019,2603.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Feni,2020,3193.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Feni,2021,2449.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Feni,2022,2480.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Feni,2023,2295.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Feni,2024,4221.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sylhet,2016,4291.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sylhet,2017,5944.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sylhet,2018,3581.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sylhet,2019,3668.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sylhet,2020,4228.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sylhet,2021,3309.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sylhet,2022,5118.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sylhet,2023,5337.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sylhet,2024,6185.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Dhaka,2016,1365.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Dhaka,2017,2892.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Dhaka,2018,1732.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Dhaka,2019,1837.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Dhaka,2020,1920.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Dhaka,2021,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Dhaka,2022,1301.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Dhaka,2023,2160.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Dhaka,2024,2411.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Faridpur,2016,1649.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Faridpur,2017,2117.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Faridpur,2018,1465.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Faridpur,2019,1230.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Faridpur,2020,3742.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Faridpur,2021,1734.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Faridpur,2022,1874.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Faridpur,2023,1441.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Faridpur,2024,1509.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Mymensingh,2016,1968.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Mymensingh,2017,2842.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Mymensingh,2018,2131.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Mymensingh,2019,1984.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Mymensingh,2020,2395.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Mymensingh,2021,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Mymensingh,2022,1796.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Mymensingh,2023,2081.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Mymensingh,2024,2045.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Srimangal,2016,2546.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Srimangal,2017,3813.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Srimangal,2018,2186.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Srimangal,2019,2214.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Srimangal,2020,2286.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Srimangal,2021,1705.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Srimangal,2022,2765.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Srimangal,2023,2276.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Srimangal,2024,2818.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Tangail,2016,1131.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Tangail,2017,2488.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Tangail,2018,1639.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Tangail,2019,1853.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Tangail,2020,1957.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Tangail,2021,1817.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Tangail,2022,1627.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Tangail,2023,1966.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Tangail,2024,2025.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Barishal,2016,2351.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Barishal,2017,2624.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Barishal,2018,1418.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Barishal,2019,1989.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Barishal,2020,2292.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Barishal,2021,1722.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Barishal,2022,1811.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Barishal,2023,2103.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Barishal,2024,2536.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bhola,2016,2460.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bhola,2017,2497.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bhola,2018,1513.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bhola,2019,1895.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bhola,2020,2398.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bhola,2021,2006.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bhola,2022,1690.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bhola,2023,2261.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bhola,2024,3016.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Jassore,2016,1366.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Jassore,2017,2178.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Jassore,2018,1142.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Jassore,2019,1492.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Jassore,2020,1963.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Jassore,2021,1752.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Jassore,2022,879.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Jassore,2023,1387.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Jassore,2024,2175.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Khulna,2016,2222.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Khulna,2017,2286.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Khulna,2018,1073.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Khulna,2019,1925.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Khulna,2020,1570.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Khulna,2021,2035.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Khulna,2022,1299.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Khulna,2023,1458.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Khulna,2024,2105.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Mongla,2016,2118.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Mongla,2017,2100.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Mongla,2018,1710.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Mongla,2019,1963.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Mongla,2020,2254.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Mongla,2021,2485.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Mongla,2022,1528.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Mongla,2023,2178.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Mongla,2024,2844.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Satkhira,2016,1345.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Satkhira,2017,1931.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Satkhira,2018,1292.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Satkhira,2019,1903.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Satkhira,2020,1592.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Satkhira,2021,1944.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Satkhira,2022,1143.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Satkhira,2023,1490.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Satkhira,2024,2195.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Khepupara,2016,2784.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Khepupara,2017,3344.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Khepupara,2018,2961.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Khepupara,2019,3095.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Khepupara,2020,3381.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Khepupara,2021,2615.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Khepupara,2022,2303.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Khepupara,2023,3239.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Khepupara,2024,3646.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Patuakhali,2016,2751.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Patuakhali,2017,2831.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Patuakhali,2018,1902.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Patuakhali,2019,2107.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Patuakhali,2020,2842.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Patuakhali,2021,2457.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Patuakhali,2022,1765.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Patuakhali,2023,2390.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Patuakhali,2024,3303.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bogura,2016,1081.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bogura,2017,2163.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bogura,2018,1650.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bogura,2019,1633.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bogura,2020,2115.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bogura,2021,1596.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bogura,2022,1563.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bogura,2023,1671.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bogura,2024,1612.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Dinajpur,2016,1649.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Dinajpur,2017,1752.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Dinajpur,2018,920.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Dinajpur,2019,2288.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Dinajpur,2020,2870.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Dinajpur,2021,1751.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Dinajpur,2022,1737.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Dinajpur,2023,1969.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Dinajpur,2024,1709.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Ishwardi,2016,1316.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Ishwardi,2017,1799.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Ishwardi,2018,1321.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Ishwardi,2019,1444.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Ishwardi,2020,1716.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Ishwardi,2021,1588.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Ishwardi,2022,1083.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Ishwardi,2023,1358.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Ishwardi,2024,1616.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rajshahi,2016,1375.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rajshahi,2017,1463.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rajshahi,2018,956.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rajshahi,2019,1235.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rajshahi,2020,1411.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rajshahi,2021,1538.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rajshahi,2022,1064.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rajshahi,2023,1160.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rajshahi,2024,1230.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rangpur,2016,2159.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rangpur,2017,1852.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rangpur,2018,1442.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rangpur,2019,2289.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rangpur,2020,3110.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rangpur,2021,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rangpur,2022,1921.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rangpur,2023,1977.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rangpur,2024,1886.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Syedpur,2016,1373.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Syedpur,2017,2127.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Syedpur,2018,1493.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Syedpur,2019,2130.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Syedpur,2020,2672.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Syedpur,2021,2031.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Syedpur,2022,1578.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Syedpur,2023,2099.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Syedpur,2024,1677.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chuadanga,2016,1395.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chuadanga,2017,1532.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chuadanga,2018,1223.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chuadanga,2019,1290.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chuadanga,2020,1749.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chuadanga,2021,1644.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chuadanga,2022,1217.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chuadanga,2023,1066.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chuadanga,2024,1481.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Gopalgonj,2016,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Gopalgonj,2017,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Gopalgonj,2018,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Gopalgonj,2019,1691.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Gopalgonj,2020,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Gopalgonj,2021,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Gopalgonj,2022,1345.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Gopalgonj,2023,1477.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Gopalgonj,2024,1925.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Tarash,2016,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Tarash,2017,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Tarash,2018,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Tarash,2019,1713.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Tarash,2020,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Tarash,2021,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Tarash,2022,1441.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Tarash,2023,1544.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Tarash,2024,1507.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Netrokona,2016,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Netrokona,2017,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Netrokona,2018,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Netrokona,2019,2656.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Netrokona,2020,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Netrokona,2021,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Netrokona,2022,2601.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Netrokona,2023,3047.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Netrokona,2024,2558.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rajarhat,2016,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rajarhat,2017,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rajarhat,2018,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rajarhat,2019,2185.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rajarhat,2020,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rajarhat,2021,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rajarhat,2022,2774.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rajarhat,2023,2086.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rajarhat,2024,2678.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Badalgachhi,2016,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Badalgachhi,2017,
