rank,pattern,area_ha,pct_nca,n_districts,n_upazilas,n_crops,fallow_slots,has_rice,has_legume,rabi,kharif1,kharif2,extra,source
109,Blackgram−B.Aman,7625,0.089,11,24,2,0,True,True,Blackgram,B.Aman,B.Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
110,Chilli−Aus−Fallow,7565,0.088,14,27,2,1,True,False,Chilli,Aus,Fallow,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
111,Tobacco−Maize−T. Aman,7470,0.087,5,12,3,0,True,False,Tobacco,Maize,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
112,Potato−Boro−Aus,7420,0.087,4,6,3,0,True,False,Potato,Boro,Aus,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
113,Coriander−Jute−Fallow,7390,0.086,15,25,2,1,False,False,Coriander,Jute,Fallow,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
114,Chilli−Jute−T. Aman,7250,0.085,20,35,3,0,True,False,Chilli,Jute,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
115,Fallow−Vegetable−T. Aman,7130,0.083,16,29,2,1,True,False,Fallow,Vegetable,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
116,Maize−Vegetable−Fallow,7120,0.083,14,19,2,1,False,False,Maize,Vegetable,Fallow,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
117,Vegetable−Boro−Fallow,7100,0.083,9,10,2,1,True,False,Vegetable,Boro,Fallow,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
118,Lentil−Mungbean−T. Aman,6955,0.081,11,22,3,0,True,True,Lentil,Mungbean,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
119,Lentil−B.Aman,6550,0.076,16,30,2,0,True,True,Lentil,B.Aman,B.Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
120,Onion−Fallow−T. Aman,6380,0.074,32,64,2,1,True,False,Onion,Fallow,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
121,Lentil−Vegetable−Vegetable,6330,0.074,19,30,3,0,False,True,Lentil,Vegetable,Vegetable,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
122,Mustard−Maize−T. Aman,6310,0.074,9,19,3,0,True,False,Mustard,Maize,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
123,Wheat−Vegetable−Vegetable,6100,0.071,16,21,3,0,False,False,Wheat,Vegetable,Vegetable,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
124,Tobacco−Aus−T. Aman,6040,0.071,5,12,3,0,True,False,Tobacco,Aus,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
125,Soybean−B.Aman,5650,0.066,4,4,2,0,True,True,Soybean,B.Aman,B.Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
126,Boro−Fallow−T. Aman +Fish,5410,0.063,3,7,2,1,True,False,Boro,Fallow,T. Aman +Fish,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
127,Tobacco−Fallow−T. Aman,5310,0.062,7,15,2,1,True,False,Tobacco,Fallow,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
128,Wheat−Vegetable−T. Aman,5205,0.061,15,25,3,0,True,False,Wheat,Vegetable,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
129,Vegetable−B.Aman,5200,0.061,9,17,2,0,True,False,Vegetable,B.Aman,B.Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
130,Maize−B.Aman,5030,0.059,10,15,2,0,True,False,Maize,B.Aman,B.Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
131,Mustard−Aus−Fallow,4935,0.058,15,22,2,1,True,False,Mustard,Aus,Fallow,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
