region,upazila,n_patterns,n_crops,pattern_diversity_index,crop_diversity_index,cropping_intensity_pct,source,adm3_name,district,lat,lon
Bogra,Nandigram,6,7,0.692,0.893,276,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Nandigram,Bogra,24.6813,89.2268
Bogra,Sariakandi,19,17,0.852,0.929,205,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Sariakandi,Bogra,24.8812,89.6141
Bogra,Sherpur,32,15,0.66,0.863,227,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Sherpur,Bogra,24.6291,89.4223
Bogra,Shibganj,16,15,0.499,0.81,282,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Shibganj,Bogra,25.0166,89.3067
Bogra,Shajahanpur,22,14,0.761,0.905,241,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Shajahanpur,Bogra,24.7601,89.375
Bogra,Sonatola,34,22,0.835,0.936,246,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Sonatola,Bogra,24.9971,89.514
Bogra,Akkelpur,19,15,0.647,0.859,260,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Akkelpur,Joypurhat,24.934,89.0421
Bogra,Joypurhat,14,15,0.795,0.92,259,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Joypurhat Sadar,Joypurhat,25.1055,89.0199
Bogra,Kalai,12,13,0.27,0.734,289,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Kalai,Joypurhat,25.0779,89.1977
Bogra,Khetlal,17,12,0.402,0.783,291,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Khetlal,Joypurhat,25.0225,89.1181
Bogra,Panchbibi,13,10,0.768,0.908,251,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Panchbibi,Joypurhat,25.2022,89.0704
Bogra,Atghroria,28,13,0.868,0.949,237,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Atgharia,Pabna,24.1083,89.2819
Bogra,Bera,29,20,0.95,0.972,183,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Bera,Pabna,23.9424,89.656
Bogra,Bhangura,16,13,0.859,0.931,196,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Bhangura,Pabna,24.239,89.3927
Bogra,Chatmohar,20,16,0.912,0.961,218,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Chatmohar,Pabna,24.2252,89.302
Bogra,Faridpur,11,14,0.816,0.906,200,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Faridpur,Pabna,24.1606,89.4488
Bogra,Iswardi,18,17,0.904,0.954,247,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Ishwardi,Pabna,24.0778,89.0972
Bogra,Pabna sadar,34,21,0.942,0.978,256,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Pabna Sadar,Pabna,23.9938,89.2814
Bogra,Santhia,25,16,0.891,0.962,274,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Santhia,Pabna,24.0422,89.5168
Bogra,Sujanagar,28,19,0.843,0.922,201,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Sujanagar,Pabna,23.8967,89.5127
Bogra,Belkuchi,14,14,0.759,0.894,219,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Belkuchi,Sirajganj,24.2953,89.7021
Bogra,Chowhali,26,26,0.901,0.944,196,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",,,,
Bogra,Kazipur,36,21,0.845,0.94,190,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Kazipur,Sirajganj,24.6702,89.6872
Bogra,Kamarkhanda,19,18,0.832,0.919,227,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Kamarkhanda,Sirajganj,24.3751,89.6434
Bogra,Raiganj,21,17,0.425,0.718,203,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Ramganj,Lakshmipur,23.0989,90.8726
Bogra,Shahjadpur,19,16,0.703,0.87,217,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Shahjadpur,Sirajganj,24.1628,89.6301
Bogra,Sirajganj,25,21,0.831,0.917,206,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Sirajganj Sadar,Sirajganj,24.494,89.6885
Bogra,Tarash,28,22,0.799,0.899,198,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Tarash,Sirajganj,24.4431,89.3581
Bogra,Ullapara,26,18,0.777,0.9,209,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Ullah Para,Sirajganj,24.3273,89.5181
Comilla,Akhaura,7,7,0.624,0.776,174,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Akhaura,Brahamanbaria,23.8386,91.1951
Comilla,Ashuganj,7,8,0.705,0.872,215,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Ashuganj,Brahamanbaria,24.0158,91.0184
Comilla,B.Baria,15,14,0.627,0.772,181,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Brahmanbaria Sadar,Brahamanbaria,23.9506,91.119
Comilla,Bijoynagar,11,7,0.559,0.737,144,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Bijoynagar,Brahamanbaria,23.9944,91.2282
Comilla,Bancharampur,24,20,0.682,0.829,141,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Banchharampur,Brahamanbaria,23.7801,90.807
Comilla,Kasba,12,11,0.739,0.872,195,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Kasba,Brahamanbaria,23.763,91.1303
Comilla,Nabinagar,16,15,0.774,0.898,170,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Nabinagar,Brahamanbaria,23.8635,90.9804
Comilla,Nasirnagar,24,20,0.751,0.877,156,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Nasirnagar,Brahamanbaria,24.1822,91.1875
Comilla,Sarail,13,12,0.594,0.774,146,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Sarail,Brahamanbaria,24.1032,91.1122
Comilla,Chandpur,20,20,0.865,0.925,166,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Chandpur Sadar,Chandpur,23.227,90.6908
Comilla,Faridganj,14,10,0.566,0.749,180,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Faridganj,Chandpur,23.1462,90.7609
Comilla,Haimchar,24,17,0.93,0.964,208,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Haim Char,Chandpur,23.0727,90.6618
Comilla,Hajiganj,13,11,0.433,0.637,126,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Hajiganj,Chandpur,23.263,90.8372
Comilla,Kachua,16,8,0.761,0.891,221,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Kachua,Chandpur,23.3627,90.8817
Comilla,Matlab.N,20,17,0.822,0.925,236,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Matlab Uttar,Chandpur,23.4145,90.642
Comilla,Matlab.S,17,14,0.801,0.894,168,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Matlab Dakshin,Chandpur,23.3501,90.7475
Comilla,Shaharasti,11,9,0.558,0.773,197,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Shahrasti,Chandpur,23.2087,90.9569
Comilla,Barura,15,13,0.522,0.832,292,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Barura,Comilla,23.3557,91.0394
Comilla,Brahmanpara,20,17,0.8,0.903,221,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Brahman Para,Comilla,23.6452,91.0966
Comilla,Burichang,13,15,0.724,0.889,244,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Burichang,Comilla,23.5337,91.117
Comilla,Chouddagram,18,17,0.605,0.785,188,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Chauddagram,Comilla,23.2203,91.2804
Comilla,Chandina,33,20,0.806,0.911,250,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Chandina,Comilla,23.4459,90.9465
Comilla,Com.Adarsha,7,8,0.59,0.481,129,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Comilla Adarsha Sadar,Comilla,23.4699,91.1712
Comilla,Com.South,19,12,0.659,0.862,240,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",,,,
Comilla,Daudkandi,12,7,0.668,0.791,144,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Daudkandi,Comilla,23.5027,90.7731
Comilla,Debidwar,36,21,0.739,0.891,265,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Debidwar,Comilla,23.5783,90.9979
Comilla,Homna,27,16,0.832,0.891,176,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Homna,Comilla,23.6791,90.8128
Comilla,Nangolkot,16,13,0.769,0.9,231,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Nangalkot,Comilla,23.1401,91.2093
Comilla,Laksam,14,10,0.612,0.806,205,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Laksam,Comilla,23.2388,91.1053
Comilla,Meghna,15,13,0.828,0.911,170,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Meghna,Comilla,23.6248,90.6909
Comilla,Monoharganj,13,13,0.504,0.677,140,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Manoharganj,Comilla,23.1402,91.067
Comilla,Muradnagar,35,20,0.909,0.956,209,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Muradnagar,Comilla,23.6776,90.9437
Comilla,Titas,20,13,0.656,0.795,132,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Titas,Comilla,23.5897,90.797
Chittagong,Anwara,20,13,0.752,0.877,212,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Systems in Chittagong Region', doi:10.3329/brj.v21i2.38199",Anowara,Chittagong,22.2026,91.8812
Chittagong,Banshkhali,15,11,0.889,0.945,205,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Systems in Chittagong Region', doi:10.3329/brj.v21i2.38199",Banshkhali,Chittagong,22.0147,91.9402
Chittagong,Boalkhali,12,10,0.724,0.853,160,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Systems in Chittagong Region', doi:10.3329/brj.v21i2.38199",Boalkhali,Chittagong,22.377,91.9701
Chittagong,Chandanaish,19,14,0.884,0.95,213,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Systems in Chittagong Region', doi:10.3329/brj.v21i2.38199",Chandanaish,Chittagong,22.2122,92.0635
Chittagong,Fatikchhari,24,20,0.609,0.767,144,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Systems in Chittagong Region', doi:10.3329/brj.v21i2.38199",Fatikchhari,Chittagong,22.7563,91.7472
Chittagong,Hathazari,17,15,0.697,0.806,163,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Systems in Chittagong Region', doi:10.3329/brj.v21i2.38199",Hathazari,Chittagong,22.5287,91.7971
Chittagong,Lohagara,12,9,0.81,0.896,181,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Systems in Chittagong Region', doi:10.3329/brj.v21i2.38199",Lohagara,Chittagong,21.9862,92.111
Chittagong,Mirsharai,25,18,0.739,0.846,190,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Systems in Chittagong Region', doi:10.3329/brj.v21i2.38199",Mirsharai,Chittagong,22.81,91.5502
Chittagong,Patiya,13,10,0.716,0.868,171,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Systems in Chittagong Region', doi:10.3329/brj.v21i2.38199",Patiya,Chittagong,22.292,91.964
Chittagong,Rngunia,17,16,0.637,0.793,172,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Systems in Chittagong Region', doi:10.3329/brj.v21i2.38199",Rangunia,Chittagong,22.465,92.0666
Chittagong,Rauzan,18,15,0.692,0.826,171,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Systems in Chittagong Region', doi:10.3329/brj.v21i2.38199",Raozan,Chittagong,22.5208,91.917
Chittagong,Sandwip,18,17,0.723,0.89,170,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Systems in Chittagong Region', doi:10.3329/brj.v21i2.38199",Sandwip,Chittagong,22.4912,91.491
Chittagong,Satkania,16,11,0.782,0.879,182,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Systems in Chittagong Region', doi:10.3329/brj.v21i2.38199",Satkania,Chittagong,22.1045,92.0605
