variety,season,release_year,duration_days_min,duration_days_max,yield_t_ha_min,yield_t_ha_max,plant_height_cm,seedbed_sowing,seedling_age_days,harvest,salt_tolerant,salt_tolerance_ds_m,submergence_tolerant,drought_tolerant,cold_tolerant,aromatic,zinc_mg_kg,notes,source,source_file,url
BR7,Aus,1977.0,130.0,130.0,3.5,3.5,125.0,29 Mar-13 Apr,20-30,9-25 Aug,False,,False,False,False,False,,BRRI Balam; transplanted Aus,read from scanned factsheet,wp_content_uploads_2014_04__BR7.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR7.pdf
BR8,Boro,1978.0,160.0,160.0,6.0,6.0,125.0,4-19 Nov,40-45,14-28 Apr,False,,False,False,False,False,,Asha; medium-bold grain; suits hail-prone areas,read from scanned factsheet,wp_content_uploads_2014_04__BR8.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR8.pdf
BR8,Aus,1978.0,125.0,125.0,5.0,5.0,125.0,29 Mar-13 Apr,20-30,4-20 Aug,False,,False,False,False,False,,Asha; transplanted Aus,read from scanned factsheet,wp_content_uploads_2014_04__BR8.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR8.pdf
BR9,Boro,1978.0,155.0,155.0,6.0,6.0,125.0,4-19 Nov,40-45,14-28 Apr,False,,False,False,False,False,,Sufala; long medium-bold white grain; suits hail-prone areas,read from scanned factsheet,wp_content_uploads_2014_04__BR9.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR9.pdf
BR9,Aus,1978.0,120.0,120.0,5.0,5.0,125.0,29 Mar-13 Apr,20-30,4-20 Aug,False,,False,False,False,False,,Sufala; transplanted Aus,read from scanned factsheet,wp_content_uploads_2014_04__BR9.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR9.pdf
BR10,Aman,1980.0,150.0,150.0,6.5,6.5,115.0,15 Jun-15 Jul,30-40,5 Nov-5 Dec,False,,False,False,False,False,,Progoti; photoperiod-sensitive late Aman; 40-50 day seedlings go into knee-deep water (southern lowlands),read from scanned factsheet,tion_Training_Manual_Day_1_Module_2_Aman__Factsheet31-BR10.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aman/Factsheet31-BR10.pdf
BR11,Aman,1980.0,145.0,145.0,6.5,6.5,115.0,15 Jun-15 Jul,30-40,5 Nov-5 Dec,False,,False,False,False,False,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Aman__Factsheet32-BR11.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aman/Factsheet32-BR11.pdf
BR12,Aus,1983.0,130.0,130.0,4.5,4.5,105.0,29 Mar-3 Apr (as printed; 15-30 Chaitra),20-30,4-20 Aug,False,,False,False,False,False,,Moyna,read from scanned factsheet,wp_content_uploads_2014_04__BR12.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR12.pdf
BR12,Boro,1983.0,170.0,170.0,5.5,5.5,105.0,30 Oct-14 Nov,45-50,18 Apr-3 May,False,,False,False,False,False,,Moyna; medium-bold white grain; transplant 1-15 Poush,read from scanned factsheet,wp_content_uploads_2014_04__BR12.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR12.pdf
BR14,Boro,1983.0,155.0,160.0,6.0,6.5,115.0,15 Nov - 20 Dec,,May,False,,False,False,False,False,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Boro__Factsheet3-BR14.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Boro/Factsheet3-BR14.pdf
BR15,Aus,1983.0,130.0,130.0,4.5,4.5,100.0,29 Mar-3 Apr (as printed; 15-30 Chaitra),20-30,4-20 Aug,False,,False,False,False,False,,Mohini,read from scanned factsheet,wp_content_uploads_2014_04__BR15.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR15.pdf
BR15,Boro,1983.0,170.0,170.0,5.5,5.5,90.0,30 Oct-14 Nov,45-50,18 Apr-3 May,False,,False,False,False,False,,Mohini; medium-bold white grain,read from scanned factsheet,wp_content_uploads_2014_04__BR15.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR15.pdf
BR16,Boro,1983.0,155.0,160.0,5.5,6.0,90.0,15 Nov - 20 Dec,,May,False,,False,False,False,False,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Boro__Factsheet4-BR16.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Boro/Factsheet4-BR16.pdf
BR17,Boro,,155.0,155.0,6.0,6.0,125.0,1-15 Nov,,15-30 Apr,False,,False,False,False,False,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Boro__Factsheet5-BR17.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Boro/Factsheet5-BR17.pdf
BR18,Boro,1985.0,165.0,170.0,6.0,6.5,115.0,15 Nov - 20 Dec,,May,False,,False,False,False,False,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Boro__Factsheet6-BR18.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Boro/Factsheet6-BR18.pdf
BR19,Boro,1985.0,165.0,170.0,,,110.0,15 Nov - 20 Dec,,,False,,False,False,False,False,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Boro__Factsheet7-BR19.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Boro/Factsheet7-BR19.pdf
BR20,Aus,1986.0,115.0,115.0,3.5,3.5,120.0,15 Mar-30 Apr,,30 Jun-15 Aug,False,,False,False,False,False,,,text layer (Bijoy encoding),ction_Training_Manual_Day_1_Module_2_Aus__Factsheet19-BR20.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aus/Factsheet19-BR20.pdf
BR21,Aus,1986.0,110.0,110.0,3.0,3.0,100.0,24 Mar-23 Apr (direct seeded),,4 Jul-4 Aug,False,,False,False,False,False,,"Niamat; direct-seeded (bona) Aus for high-rainfall Sylhet, Chattogram, Cumilla, Noakhali, Mymensingh; medium-bold grain",read from scanned factsheet,wp_content_uploads_2014_04__BRRIdhan21.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BRRIdhan21.pdf
BR22,Aman,1988.0,150.0,150.0,5.0,5.0,125.0,15 Jun-15 Aug,30-50,30 Nov-15 Dec,False,,False,False,False,False,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Aman__Factsheet33-BR22.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aman/Factsheet33-BR22.pdf
BR23,Aman,1988.0,150.0,150.0,5.5,5.5,120.0,15 Jun-15 Aug,30-50,15 Nov-15 Dec,False,,False,False,False,False,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Aman__Factsheet34-BR23.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aman/Factsheet34-BR23.pdf
BR24,Aus,1992.0,105.0,105.0,3.5,3.5,105.0,24 Mar-23 Apr (direct seeded),,4 Jul-4 Aug,False,,False,False,False,False,,Rahmat; direct-seeded Aus for high-rainfall areas; long fine grain; strong stem,read from scanned factsheet,wp_content_uploads_2014_04__BRRIdhan24-1.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BRRIdhan24-1.pdf
BR25,Aman,1992.0,135.0,135.0,4.5,4.5,138.0,15 Jun-15 Jul,25-30,15-30 Nov,False,,False,False,False,False,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Aman__Factsheet35-BR25.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aman/Factsheet35-BR25.pdf
BR26,Aus,1993.0,115.0,115.0,4.0,4.0,115.0,18-30 Apr,20-25,14 Aug-4 Sep,False,,False,False,False,False,,Sraboni; transplanted Aus; early; long fine Balam-like grain,read from scanned factsheet,wp_content_uploads_2014_04__BRRIdhan26.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BRRIdhan26.pdf
BRRI hybrid dhan1,Boro,2001.0,155.0,160.0,7.5,8.5,,15 Nov-15 Dec,30-35,20-30 Apr,False,,False,False,False,False,,"hybrid, approved for Barishal and Jashore regions; medium-fine grain; transplant 15 Dec-15 Jan",read from scanned factsheet,wp_content_uploads_2014_04__BRRIHybriddhan1.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BRRIHybriddhan1.pdf
BRRI hybrid dhan2,Boro,2008.0,145.0,145.0,8.0,8.0,105.0,15 Nov-15 Dec,30-35,5-10 Apr,False,,False,False,False,False,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Boro__Factsheet16-BRRI_hybriddhan2.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Boro/Factsheet16-BRRI%20hybriddhan2.pdf
BRRI hybrid dhan3,Boro,2009.0,145.0,145.0,9.0,9.0,110.0,15Nov-15 Dec,30-35,5-10 Apr,False,,False,False,False,False,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Boro__Factsheet17-BRRI_hybriddhan3.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Boro/Factsheet17-BRRI%20hybriddhan3.pdf
BRRI hybrid dhan4,Aman,2010.0,118.0,118.0,6.5,6.5,112.0,15 Jun -15 Jul,25-30,10-15 Oct,False,,False,False,False,False,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Aman__Factsheet55-BRRI_hybriddhan4.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aman/Factsheet55-BRRI%20hybriddhan4.pdf
BRRI hybrid dhan5,Boro,2016.0,144.0,144.0,8.5,9.0,110.0,15 Nov-15 Dec,30-35,,False,,False,False,False,False,,hybrid; height 105-110 cm; long slender grain; lodging resistant; transplant 15 Dec-15 Jan,read from scanned factsheet,wp_content_uploads_2015_02__BRRI_hybridDhan5.pdf,https://knowledgebank-brri.org/wp-content/uploads/2015/02/BRRI hybridDhan5.pdf
BRRI hybrid dhan6,Aman,,110.0,115.0,6.0,6.5,110.0,5-15 Jul,25-30,30 Oct-10 Nov,False,,False,False,False,False,,"hybrid; short duration; height 105-110 cm; released for Dhaka, Chattogram and Jashore regions; transplant 30 Jul-10 Aug",read from scanned factsheet,wp_content_uploads_2015_02__brrid-hybrid-dhan6.pdf,https://knowledgebank-brri.org/wp-content/uploads/2015/02/brrid-hybrid-dhan6.pdf
BRRI hybrid dhan7,Aus,2020.0,105.0,110.0,6.5,7.0,105.0,18-30 Apr,25-30,14 Aug-8 Sep,False,,False,False,False,False,,"first hybrid for transplanted Aus; released for Chattogram, Rangpur and Khulna regions; height 101-105 cm",read from scanned factsheet,wp_content_uploads_2014_02__BRRI-Hybrid-Dhan7.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/02/BRRI-Hybrid-Dhan7.pdf
BRRI hybrid dhan8,Boro,2022.0,145.0,148.0,10.5,11.0,115.0,15 Nov-15 Dec,25-30,,False,,False,False,False,False,,"hybrid; short-duration high-yield Boro; released for Dhaka, Chattogram and Rangpur regions; height 110-115 cm; transplant 15 Dec-15 Jan",read from scanned factsheet,wp_content_uploads_2014_02__BRRI-HY-dhan8.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/02/BRRI-HY-dhan8.pdf
BRRI hybrid dhan9,Boro,,145.0,147.0,9.5,10.5,,,,,True,8.0,False,False,False,False,,first salt-tolerant hybrid: 4-8 dS/m seedling to maturity; 6.5-7 t/ha on the coast; stays green at maturity; lodging resistant; approved at the 115th National Seed Board meeting,read from scanned factsheet,wp_content_uploads_2026_03__BRRI-hybrid-dhan9.pdf,https://knowledgebank-brri.org/wp-content/uploads/2026/03/BRRI-hybrid-dhan9.pdf
BRRI hybrid dhan10,Boro,,145.0,147.0,9.7,10.7,,,,,True,8.0,False,False,False,False,,salt-tolerant hybrid: 4-8 dS/m seedling to maturity; 6.5-7 t/ha on the coast; fine grain; approved at the 115th National Seed Board meeting,read from scanned factsheet,wp_content_uploads_2026_03__BRRI-hybrid-dhan10.pdf,https://knowledgebank-brri.org/wp-content/uploads/2026/03/BRRI-hybrid-dhan10.pdf
BRRI dhan27,Aus,1994.0,115.0,115.0,4.0,4.0,140.0,15 Mar-30 Apr,,30 Jun-15 Aug,False,,False,False,False,False,,,text layer (Bijoy encoding),ction_Training_Manual_Day_1_Module_2_Aus__Factsheet23-BRRI_Dhan27.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aus/Factsheet23-BRRI%20Dhan27.pdf
BRRI dhan28,Boro,1994.0,140.0,140.0,5.5,6.0,90.0,mid Dec - Jan 1st week,35-40,1-25 May,False,,False,False,False,False,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Boro__Factsheet8-BRRIdhan_28.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Boro/Factsheet8-BRRIdhan_28.pdf
BRRI dhan29,Boro,1994.0,160.0,160.0,7.5,7.5,95.0,30 Oct - 15 Nov,40-50,18 Apr - 30 May,False,,False,False,False,False,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Boro__Factsheet9-BRRI_Dhan29.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Boro/Factsheet9-BRRI%20Dhan29.pdf
BRRI dhan30,Aman,1994.0,145.0,145.0,5.0,5.0,120.0,15 Jun-15 Jul,30-40,5 Nov-5 Dec,False,,False,False,False,False,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Aman__Factsheet36-BR30.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aman/Factsheet36-BR30.pdf
BRRI dhan31,Aman,1994.0,141.0,141.0,5.0,5.0,115.0,15 Jun-15 Jul,30-35,25 Oct-25 Nov,False,,False,False,False,False,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Aman__Factsheet37-BR31.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aman/Factsheet37-BR31.pdf
BRRI dhan32,Aman,1994.0,130.0,130.0,5.0,5.0,120.0,20-30 Jun,25-30,30 Oct-15 Nov,False,,False,False,False,False,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Aman__Factsheet38-BR32.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aman/Factsheet38-BR32.pdf
BRRI dhan33,Aman,1997.0,118.0,118.0,4.5,4.5,100.0,30 Jun-5 Jul,25-30,30 Oct-5 Nov,False,,False,False,False,False,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Aman__Factsheet39-BR33.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aman/Factsheet39-BR33.pdf
BRRI dhan34,Aman,1997.0,135.0,135.0,3.5,3.5,117.0,25-30 Jul,25-30,25-30 Nov,False,,False,False,False,True,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Aman__Factsheet40-BR34.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aman/Factsheet40-BR34.pdf
BRRI dhan35,Boro,1998.0,155.0,155.0,5.0,5.0,105.0,4-19 Nov,40-45,14-28 Apr,False,,False,False,False,False,,short bold grain; resistant to brown planthopper,read from scanned factsheet,wp_content_uploads_2014_04__BRRI-dhan35.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BRRI-dhan35.pdf
BRRI dhan36,Boro,1998.0,140.0,145.0,5.0,5.5,90.0,15-30 Nov,,1-15 Apr,False,,False,False,True,False,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Boro__Factsheet10-BR36.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Boro/Factsheet10-BR36.pdf
BRRI dhan37,Aman,1998.0,140.0,140.0,3.5,3.5,125.0,25-30 Jul,25-30,25-30 Nov,False,,False,False,False,True,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Aman__Factsheet41-BR37.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aman/Factsheet41-BR37.pdf
BRRI dhan38,Aman,1998.0,140.0,140.0,3.5,3.5,125.0,25-30 Jul,25-30,25-30 Nov,False,,False,False,False,True,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Aman__Factsheet42-BR38.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aman/Factsheet42-BR38.pdf
BRRI dhan39,Aman,1999.0,120.0,120.0,4.5,4.5,106.0,1st week Jul,20-25,5-10 Nov,False,,False,False,False,False,,short duration; long slender export-quality grain; leaves time for a timely Rabi crop or dhaincha green manure; tolerant to tungro and sheath blight,read from scanned factsheet,tion_Training_Manual_Day_1_Module_2_Aman__Factsheet43-BR39.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aman/Factsheet43-BR39.pdf
BRRI dhan40,Aman,2003.0,145.0,145.0,4.5,4.5,115.0,1-15 Jul,30-40,25-30 Oct,True,8.0,False,False,False,False,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Aman__Factsheet44-BR40.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aman/Factsheet44-BR40.pdf
BRRI dhan41,Aman,2003.0,148.0,148.0,4.0,4.5,115.0,25 Jun-15 Jul,30-40,30 Nov-15 Dec,True,8.0,False,False,False,False,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Aman__Factsheet45-BR41.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aman/Factsheet45-BR41.pdf
BRRI dhan42,Aus,2004.0,100.0,100.0,3.5,3.5,100.0,15 Mar-30 Apr,,30 Jun-15 Aug,False,,False,False,False,False,,,text layer (Bijoy encoding),ction_Training_Manual_Day_1_Module_2_Aus__Factsheet24-BRRI_Dhan42.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aus/Factsheet24-BRRI%20Dhan42.pdf
BRRI dhan43,Aus,2004.0,100.0,100.0,3.5,3.5,100.0,15 Mar-30 Apr,,30 Jun-15 Aug,False,,False,False,False,False,,,text layer (Bijoy encoding),ction_Training_Manual_Day_1_Module_2_Aus__Factsheet25-BRRI_Dhan43.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aus/Factsheet25-BRRI%20Dhan43.pdf
BRRI dhan44,Aman,2005.0,145.0,145.0,6.5,6.5,,25 Jun-15 Jul,35-40,30 Nov-10 Dec,False,,False,False,False,False,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Aman__Factsheet46-BR44.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aman/Factsheet46-BR44.pdf
BRRI dhan45,Boro,2005.0,140.0,145.0,6.0,6.5,95.0,15-30 Nov,,1-7 Apr,False,,False,False,False,False,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Boro__Factsheet11-BRRIdhan45.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Boro/Factsheet11-BRRIdhan45.pdf
BRRI dhan46,Aman,,150.0,150.0,5.0,5.0,105.0,5-10 Aug,25-30,10-15 Dec,False,,False,False,False,False,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Aman__Factsheet47-BRRI_Dhan46.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aman/Factsheet47-BRRI%20Dhan46.pdf
BRRI dhan47,Boro,2006.0,152.0,152.0,6.0,6.0,105.0,15-30 Nov,35-40,1-15 Apr,True,14.0,False,False,False,False,,"salt tolerant: 12-14 dS/m at seedling, 6 dS/m at maturity; 6.0 t/ha under salinity; for the coastal belt",read from scanned factsheet,tion_Training_Manual_Day_1_Module_2_Boro__Factsheet12-BRRI_Dhan47.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Boro/Factsheet12-BRRI%20Dhan47.pdf
BRRI dhan48,Aus,2008.0,110.0,110.0,5.0,5.0,105.0,30 Mar-15 Apr,20-25,25 Jul-15 Aug,False,,False,False,False,False,,,text layer (Bijoy encoding),ction_Training_Manual_Day_1_Module_2_Aus__Factsheet26-BRRIDhan_48.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aus/Factsheet26-BRRIDhan%2048.pdf
BRRI dhan49,Aman,2008.0,135.0,135.0,5.0,5.0,100.0,15 Jun-15 Jul,25-30,20-25 Oct,False,,False,False,False,False,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Aman__Factsheet48-BRRI_dhan49.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aman/Factsheet48-BRRI%20dhan49.pdf
BRRI dhan50,Boro,2008.0,155.0,155.0,6.0,6.0,82.0,25 Oct - 5 Nov,,1-15 Apr,False,,False,False,False,True,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Boro__Factsheet13-BRRI_dhan50.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Boro/Factsheet13-BRRI%20dhan50.pdf
BRRI dhan51,Aman,2010.0,140.0,145.0,4.0,4.5,90.0,15-30 Jun,30-35,25 Oct-30 Nov,False,,True,False,False,False,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Aman__Factsheet49-BRRI_Dhan51.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aman/Factsheet49-BRRI%20Dhan51.pdf
BRRI dhan52,Aman,2010.0,140.0,145.0,4.0,4.5,116.0,15 -30 Jun,30-35,,False,,True,False,False,False,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Aman__Factsheet50-BRRI_Dhan52.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aman/Factsheet50-BRRI%20Dhan52.pdf
BRRI dhan53,Aman,2010.0,125.0,125.0,5.0,5.0,106.0,20 Jun-15 Jul,30-40,30 Nov-15 Dec,True,10.0,False,False,False,False,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Aman__Factsheet51-BRRIdhan53.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aman/Factsheet51-BRRIdhan53.pdf
BRRI dhan54,Aman,2010.0,135.0,135.0,5.5,5.5,115.0,20 Jun-15 Jul,30-40,30 Nov-15 Dec,True,10.0,False,False,False,False,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Aman__Factsheet52-BRRIDHAN_54.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aman/Factsheet52-BRRIDHAN%2054.pdf
BRRI dhan55,Boro,2011.0,145.0,145.0,7.0,7.0,100.0,15 Nov-30 Nov,35-40,10-25Apr,False,10.0,False,True,False,False,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Boro__Factsheet14-Brridhan_55.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Boro/Factsheet14-Brridhan%2055.pdf
BRRI dhan56,Aman,2010.0,105.0,110.0,4.5,5.0,115.0,15 - 30 Jul,20-25,30 Oct-5 Nov,False,,False,True,False,False,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Aman__Factsheet53-BRRI_Dhan56.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aman/Factsheet53-BRRI%20Dhan56.pdf
