region,rank_in_region,pattern,upazila,area_ha,pct_upazila_nca,pct_of_pattern_in_region,source,adm3_name,district,lat,lon
Barisal,1,Fallow-Fallow-T. Aman,Dumki,600.0,8.49,0.57,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Dumki,Patuakhali,22.4503,90.3719
Barisal,1,Fallow-Fallow-T. Aman,Banaripara,500.0,6.61,0.47,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Banari Para,Barisal,22.8118,90.1284
Barisal,1,Fallow-Fallow-T. Aman,Nalchity,500.0,3.49,0.47,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Nalchity,Jhalokati,22.6007,90.2736
Barisal,1,Fallow-Fallow-T. Aman,Dashmina,500.0,2.67,0.47,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Dashmina,Patuakhali,22.2802,90.5379
Barisal,1,Fallow-Fallow-T. Aman,Nazirpur,120.0,0.76,0.11,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Nazirpur,Pirojpur,22.7703,89.9743
Barisal,4,Grasspea-Fallow-T. Aman,Mathbaria,6200.0,29.89,9.39,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Mathbaria,Pirojpur,22.2853,89.9507
Barisal,4,Grasspea-Fallow-T. Aman,Patuakhali sadar,5200.0,18.55,7.88,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Patuakhali Sadar,Patuakhali,22.3358,90.329
Barisal,4,Grasspea-Fallow-T. Aman,Kalapara,5100.0,12.72,7.72,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Kala Para,Patuakhali,21.8914,90.1948
Barisal,4,Grasspea-Fallow-T. Aman,Bauphal,4500.0,12.15,6.82,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Bauphal,Patuakhali,22.433,90.5384
Barisal,4,Grasspea-Fallow-T. Aman,Mehendiganj,4200.0,18.22,6.36,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Mehendiganj,Barisal,22.8404,90.56
Barisal,4,Grasspea-Fallow-T. Aman,Barisal sadar,4000.0,20.71,6.06,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Barisal Sadar (Kotwali),Barisal,22.7146,90.3822
Barisal,4,Grasspea-Fallow-T. Aman,Muladi,3600.0,23.98,5.45,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Muladi,Barisal,22.9526,90.3759
Barisal,4,Grasspea-Fallow-T. Aman,Taltali,3400.0,23.84,5.15,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",,,,
Barisal,4,Grasspea-Fallow-T. Aman,Patharghata,3100.0,17.65,4.69,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Patharghata,Barguna,22.0941,89.9658
Barisal,4,Grasspea-Fallow-T. Aman,Lalmohan,2900.0,11.38,4.39,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Lalmohan,Bhola,22.3148,90.7543
Barisal,4,Grasspea-Fallow-T. Aman,Betagi,2800.0,22.6,4.24,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Betagi,Barguna,22.3472,90.1482
Barisal,4,Grasspea-Fallow-T. Aman,Babuganj,2500.0,20.8,3.79,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Babuganj,Barisal,22.8235,90.3146
Barisal,4,Grasspea-Fallow-T. Aman,Hizla,2300.0,17.35,3.48,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Hizla,Barisal,22.966,90.5334
Barisal,4,Grasspea-Fallow-T. Aman,Amtali,2300.0,9.8,3.48,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Amtali,Barguna,22.0749,90.2028
Barisal,4,Grasspea-Fallow-T. Aman,Galachpipa,2000.0,6.09,3.03,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Galachipa,Patuakhali,22.2031,90.423
Barisal,4,Grasspea-Fallow-T. Aman,Dumki,1700.0,24.06,2.57,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Dumki,Patuakhali,22.4503,90.3719
Barisal,4,Grasspea-Fallow-T. Aman,Bhandaria,1600.0,16.26,2.42,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Bhandaria,Pirojpur,22.4542,90.0215
Barisal,4,Grasspea-Fallow-T. Aman,Tazumuddin,1500.0,13.66,2.27,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Tazumuddin,Bhola,22.404,90.8164
Barisal,4,Grasspea-Fallow-T. Aman,Rajapur,1200.0,10.27,1.82,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Rajapur,Jhalokati,22.5507,90.131
Barisal,4,Grasspea-Fallow-T. Aman,Katahalia,900.0,8.37,1.36,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Kanthalia,Jhalokati,22.4203,90.1024
Barisal,4,Grasspea-Fallow-T. Aman,Nalchity,750.0,5.24,1.14,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Nalchity,Jhalokati,22.6007,90.2736
Barisal,4,Grasspea-Fallow-T. Aman,Nazirpur,700.0,4.46,1.06,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Nazirpur,Pirojpur,22.7703,89.9743
Barisal,4,Grasspea-Fallow-T. Aman,Jhalakati,650.0,4.31,0.98,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",,,,
Barisal,4,Grasspea-Fallow-T. Aman,Dashmina,600.0,3.2,0.91,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Dashmina,Patuakhali,22.2802,90.5379
Barisal,4,Grasspea-Fallow-T. Aman,Daulatkhan,400.0,2.98,0.61,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Daulatkhan,Bhola,22.5959,90.702
Barisal,4,Grasspea-Fallow-T. Aman,Bamna,400.0,5.69,0.61,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Bamna,Barguna,22.2725,90.0581
Barisal,4,Grasspea-Fallow-T. Aman,Wazirpur,300.0,1.81,0.45,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Wazirpur,Barisal,22.8656,90.1659
Barisal,4,Grasspea-Fallow-T. Aman,Monpura,300.0,2.45,0.45,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Manpura,Bhola,22.2002,90.9548
Barisal,4,Grasspea-Fallow-T. Aman,Gournadi,260.0,2.68,0.39,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Gaurnadi,Barisal,22.9662,90.2447
Barisal,4,Grasspea-Fallow-T. Aman,Zianagar,250.0,3.82,0.38,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Zianagar,Bagerhat,22.4657,89.9345
Barisal,4,Grasspea-Fallow-T. Aman,Kawkhali,200.0,3.95,0.3,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Kawkhali,Pirojpur,22.6067,90.0585
Barisal,4,Grasspea-Fallow-T. Aman,Burhanuddin,150.0,0.86,0.23,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Burhanuddin,Bhola,22.4774,90.7331
Barisal,5,Grasspea-Aus-T. Aman,Barguna,10200.0,41.13,16.15,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Barguna Sadar,Barguna,22.1346,90.109
Barisal,5,Grasspea-Aus-T. Aman,Bakerganj,9000.0,31.25,14.25,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Bakerganj,Barisal,22.5524,90.3826
Barisal,5,Grasspea-Aus-T. Aman,Mirzaganj,5000.0,43.67,7.92,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Mirzaganj,Patuakhali,22.3569,90.2167
Barisal,5,Grasspea-Aus-T. Aman,Charfasson,3700.0,5.08,5.86,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Char Fasson,Bhola,22.1331,90.7071
Barisal,5,Grasspea-Aus-T. Aman,Betagi,3000.0,24.59,4.75,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Betagi,Barguna,22.3472,90.1482
Barisal,5,Grasspea-Aus-T. Aman,Rangabali,3000.0,8.52,4.75,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",,,,
Barisal,5,Grasspea-Aus-T. Aman,Amtali,2600.0,11.11,4.12,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Amtali,Barguna,22.0749,90.2028
Barisal,5,Grasspea-Aus-T. Aman,Pirojpur,2600.0,22.32,4.12,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Pirojpur Sadar,Pirojpur,22.6086,89.9811
Barisal,5,Grasspea-Aus-T. Aman,Bhola sadar,2500.0,9.84,3.96,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Bhola Sadar,Bhola,22.6837,90.6188
Barisal,5,Grasspea-Aus-T. Aman,Kathalia,2000.0,20.1,3.17,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Kanthalia,Jhalokati,22.4203,90.1024
Barisal,5,Grasspea-Aus-T. Aman,Bauphal,1900.0,5.16,3.01,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Bauphal,Patuakhali,22.433,90.5384
Barisal,5,Grasspea-Aus-T. Aman,Muladi,1750.0,12.32,2.77,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Muladi,Barisal,22.9526,90.3759
Barisal,5,Grasspea-Aus-T. Aman,Taltali,1600.0,11.27,2.53,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",,,,
Barisal,5,Grasspea-Aus-T. Aman,Lalmohan,1500.0,5.92,2.38,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Lalmohan,Bhola,22.3148,90.7543
Barisal,5,Grasspea-Aus-T. Aman,Bamna,1400.0,20.14,2.22,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Bamna,Barguna,22.2725,90.0581
Barisal,5,Grasspea-Aus-T. Aman,Patharghata,1400.0,8.0,2.22,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Patharghata,Barguna,22.0941,89.9658
Barisal,5,Grasspea-Aus-T. Aman,Daulatkhan,1200.0,8.39,1.9,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Daulatkhan,Bhola,22.5959,90.702
Barisal,5,Grasspea-Aus-T. Aman,Mehendiganj,1000.0,4.44,1.58,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Mehendiganj,Barisal,22.8404,90.56
Barisal,5,Grasspea-Aus-T. Aman,Galachipa,1000.0,3.0,1.58,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Galachipa,Patuakhali,22.2031,90.423
Barisal,5,Grasspea-Aus-T. Aman,Patuakhali sadar,1000.0,3.6,1.58,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Patuakhali Sadar,Patuakhali,22.3358,90.329
Barisal,5,Grasspea-Aus-T. Aman,Nalchity,700.0,5.07,1.11,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Nalchity,Jhalokati,22.6007,90.2736
Barisal,5,Grasspea-Aus-T. Aman,Jhalakati,650.0,4.71,1.03,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",,,,
Barisal,5,Grasspea-Aus-T. Aman,Dashmina,600.0,3.24,0.95,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Dashmina,Patuakhali,22.2802,90.5379
Barisal,5,Grasspea-Aus-T. Aman,Burhanuddin,550.0,2.72,0.87,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Burhanuddin,Bhola,22.4774,90.7331
Barisal,5,Grasspea-Aus-T. Aman,Dumki,500.0,7.14,0.79,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Dumki,Patuakhali,22.4503,90.3719
Barisal,5,Grasspea-Aus-T. Aman,Kawkhali,400.0,8.16,0.63,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Kawkhali,Pirojpur,22.6067,90.0585
Barisal,5,Grasspea-Aus-T. Aman,Zianagar,350.0,5.47,0.55,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Zianagar,Bagerhat,22.4657,89.9345
Barisal,5,Grasspea-Aus-T. Aman,Hizla,300.0,2.26,0.48,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Hizla,Barisal,22.966,90.5334
Barisal,5,Grasspea-Aus-T. Aman,Bhandaria,300.0,3.23,0.48,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Bhandaria,Pirojpur,22.4542,90.0215
Barisal,5,Grasspea-Aus-T. Aman,Mathbaria,300.0,1.46,0.48,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Mathbaria,Pirojpur,22.2853,89.9507
Barisal,5,Grasspea-Aus-T. Aman,Gournadi,200.0,2.04,0.32,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Gaurnadi,Barisal,22.9662,90.2447
Barisal,5,Grasspea-Aus-T. Aman,Tazumuddin,200.0,1.85,0.32,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Tazumuddin,Bhola,22.404,90.8164
Barisal,5,Grasspea-Aus-T. Aman,Rajapur,200.0,1.74,0.32,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Rajapur,Jhalokati,22.5507,90.131
Barisal,5,Grasspea-Aus-T. Aman,Monpura,150.0,1.23,0.24,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Manpura,Bhola,22.2002,90.9548
Barisal,5,Grasspea-Aus-T. Aman,Babuganj,120.0,1.02,0.19,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Babuganj,Barisal,22.8235,90.3146
Barisal,5,Grasspea-Aus-T. Aman,Wazirpur,110.0,0.69,0.17,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Wazirpur,Barisal,22.8656,90.1659
Barisal,5,Grasspea-Aus-T. Aman,Kalapara,100.0,0.25,0.16,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Kala Para,Patuakhali,21.8914,90.1948
Barisal,5,Grasspea-Aus-T. Aman,Nazirpur,30.0,0.18,0.05,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Nazirpur,Pirojpur,22.7703,89.9743
Barisal,5,Grasspea-Aus-T. Aman,Nesarabad,30.0,0.28,0.05,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",,,,
Bogra,1,Boro-Fallow-T. Aman,Raiganj,16500.0,77.1,11.28,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Ramganj,Lakshmipur,23.0989,90.8726
